policy,seed,task_idx,qid,em,f1,answered,derailed,osc_max,turns,n_interventions,prompt_tokens,completion_tokens,cost_usd
NoControl,4,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,35,0.0006736
NoControl,4,1,5ae6f2a7554299572ea5464a,1,1.0,1,0,0.667,2,0,1701,144,0.001476
NoControl,4,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,42,0.0005096
NoControl,4,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,40,0.0005704
NoControl,4,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,0,849,67,0.0007328
NoControl,4,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.667,2,0,1959,114,0.0016584
NoControl,4,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,55,0.000492
NoControl,4,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,47,0.0004584
NoControl,4,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,0,889,44,0.0007464
NoControl,4,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,60,0.0005224
NoControl,4,10,5ae048a255429924de1b708e,1,1.0,1,0,0.8,2,0,1161,116,0.0010216
NoControl,4,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,64,0.0005504
Threshold,0,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,34,0.0006728
Threshold,0,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,64,0.000528
Threshold,0,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,51,0.0005168
Threshold,0,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,42,0.000572
Threshold,0,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,0,849,78,0.0007416
Threshold,0,5,5abc3a65554299700f9d782d,1,1.0,1,0,0.667,2,1,1949,108,0.0016456
Threshold,0,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,111,0.0005368
Threshold,0,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,48,0.0004592
Threshold,0,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,0,889,45,0.0007472
Threshold,0,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,58,0.0005208
Threshold,0,10,5ae048a255429924de1b708e,1,1.0,1,0,0.0,1,0,510,48,0.0004464
Threshold,0,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,80,0.0005632
Threshold,1,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,37,0.0006752
Threshold,1,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,61,0.0005256
Threshold,1,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,42,0.0005096
Threshold,1,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,40,0.0005704
Threshold,1,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,0,849,64,0.0007304
Threshold,1,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.667,2,1,1976,137,0.0016904
Threshold,1,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,60,0.000496
Threshold,1,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,48,0.0004592
Threshold,1,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,0,889,42,0.0007448
Threshold,1,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,50,0.0005144
Threshold,1,10,5ae048a255429924de1b708e,1,1.0,1,0,0.0,1,0,510,38,0.0004384
Threshold,1,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,39,0.0005304
Threshold,2,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,36,0.0006744
Threshold,2,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,56,0.0005216
Threshold,2,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,42,0.0005096
Threshold,2,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,40,0.0005704
Threshold,2,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,0,849,63,0.0007296
Threshold,2,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.667,2,1,1935,84,0.0016152
Threshold,2,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,129,0.0005512
Threshold,2,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,43,0.0004552
Threshold,2,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,0,889,65,0.0007632
Threshold,2,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,41,0.0005072
Threshold,2,10,5ae048a255429924de1b708e,1,1.0,1,0,0.0,1,0,510,51,0.0004488
Threshold,2,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,43,0.0005336
Threshold,3,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,38,0.000676
Threshold,3,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,61,0.0005256
Threshold,3,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,44,0.0005112
Threshold,3,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,49,0.0005776
Threshold,3,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.571,2,0,2411,143,0.0020432
Threshold,3,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.0,1,0,849,48,0.0007176
Threshold,3,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,55,0.000492
Threshold,3,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,49,0.00046
Threshold,3,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,0,889,45,0.0007472
Threshold,3,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,52,0.000516
Threshold,3,10,5ae048a255429924de1b708e,1,1.0,1,0,0.8,2,1,1163,114,0.0010216
Threshold,3,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,39,0.0005304
Threshold,4,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,35,0.0006736
Threshold,4,1,5ae6f2a7554299572ea5464a,1,1.0,1,0,0.667,2,1,1701,144,0.001476
Threshold,4,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,42,0.0005096
Threshold,4,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,40,0.0005704
Threshold,4,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,0,849,67,0.0007328
Threshold,4,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.667,2,1,1959,114,0.0016584
Threshold,4,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,55,0.000492
Threshold,4,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,47,0.0004584
Threshold,4,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,0,889,44,0.0007464
Threshold,4,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,60,0.0005224
Threshold,4,10,5ae048a255429924de1b708e,1,1.0,1,0,0.8,2,1,1161,116,0.0010216
Threshold,4,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,64,0.0005504
Predictive,0,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,34,0.0006728
Predictive,0,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,64,0.000528
Predictive,0,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,51,0.0005168
Predictive,0,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,42,0.000572
Predictive,0,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,0,849,78,0.0007416
Predictive,0,5,5abc3a65554299700f9d782d,0,0.5714,1,0,0.667,2,1,1981,106,0.0016696
Predictive,0,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,111,0.0005368
Predictive,0,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,48,0.0004592
Predictive,0,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,1,889,45,0.0007472
Predictive,0,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,58,0.0005208
Predictive,0,10,5ae048a255429924de1b708e,1,1.0,1,0,0.0,1,0,510,48,0.0004464
Predictive,0,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,80,0.0005632
Predictive,1,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,37,0.0006752
Predictive,1,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,61,0.0005256
Predictive,1,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,42,0.0005096
Predictive,1,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,40,0.0005704
Predictive,1,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,0,849,64,0.0007304
Predictive,1,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.667,2,1,1976,137,0.0016904
Predictive,1,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,60,0.000496
Predictive,1,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,48,0.0004592
Predictive,1,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,1,889,42,0.0007448
Predictive,1,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,50,0.0005144
Predictive,1,10,5ae048a255429924de1b708e,1,1.0,1,0,0.0,1,0,510,38,0.0004384
Predictive,1,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,39,0.0005304
Predictive,2,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,36,0.0006744
Predictive,2,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,56,0.0005216
Predictive,2,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,42,0.0005096
Predictive,2,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,40,0.0005704
Predictive,2,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,1,849,63,0.0007296
Predictive,2,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.667,2,1,1935,84,0.0016152
Predictive,2,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,129,0.0005512
Predictive,2,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,43,0.0004552
Predictive,2,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,0,889,65,0.0007632
Predictive,2,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,41,0.0005072
Predictive,2,10,5ae048a255429924de1b708e,1,1.0,1,0,0.0,1,0,510,51,0.0004488
Predictive,2,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,43,0.0005336
Predictive,3,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,38,0.000676
Predictive,3,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,61,0.0005256
Predictive,3,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,44,0.0005112
Predictive,3,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,1,673,49,0.0005776
Predictive,3,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.571,2,0,2411,143,0.0020432
Predictive,3,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.0,1,0,849,48,0.0007176
Predictive,3,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,55,0.000492
Predictive,3,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,49,0.00046
Predictive,3,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,1,889,45,0.0007472
Predictive,3,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,52,0.000516
Predictive,3,10,5ae048a255429924de1b708e,1,1.0,1,0,0.8,2,0,1163,114,0.0010216
Predictive,3,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,39,0.0005304
Predictive,4,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,35,0.0006736
Predictive,4,1,5ae6f2a7554299572ea5464a,1,1.0,1,0,0.667,2,0,1701,144,0.001476
Predictive,4,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,42,0.0005096
Predictive,4,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,40,0.0005704
Predictive,4,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,0,849,67,0.0007328
Predictive,4,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.667,2,1,1991,125,0.0016928
Predictive,4,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,55,0.000492
Predictive,4,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,47,0.0004584
Predictive,4,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,1,889,44,0.0007464
Predictive,4,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,60,0.0005224
Predictive,4,10,5ae048a255429924de1b708e,1,1.0,1,0,0.8,2,0,1161,116,0.0010216
Predictive,4,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,64,0.0005504
