policy,seed,task_idx,qid,em,f1,prompt_tokens,completion_tokens,cost_usd,turns,n_interventions,osc_max,fid_min
NoControl,1,38,5ab271fe554299449642c8a6,0,0.0,5258,339,0.00100746,6,0,1.0,1.0
NoControl,1,39,5a7997a2554299029c4b5f59,0,0.0,9166,547,0.00174834,6,0,1.0,1.0
NoControl,1,40,5add673e5542992ae4cec54d,0,0.5,7197,323,0.0013536,6,0,1.0,1.0
NoControl,1,41,5ae819ac55429952e35eaa16,0,0.0,622,89,0.00012798,1,0,0.0,1.0
NoControl,1,42,5aba65a055429939ce03dcd2,0,0.0,10378,443,0.00194778,6,0,1.0,1.0
NoControl,1,43,5a87bada5542994846c1cddc,1,1.0,5222,459,0.00102258,6,0,1.0,1.0
NoControl,1,44,5ae74fc45542997b22f6a6b4,0,0.0,566,43,0.00010962,1,0,0.0,1.0
NoControl,1,45,5adf65555542992d7e9f9334,1,1.0,6665,391,0.00127008,6,0,1.0,1.0
NoControl,1,46,5ade69e455429975fa854ec5,0,0.0,5334,400,0.00103212,6,0,1.0,1.0
NoControl,1,47,5ae057fd55429945ae959328,0,0.0,1148,78,0.00022068,2,0,0.667,1.0
NoControl,1,48,5ab28019554299722f9b4d51,0,0.0,1781,111,0.00034056,2,0,0.667,1.0
NoControl,1,49,5a75f79555429976ec32bcca,0,0.0,5918,337,0.0011259,4,0,1.0,1.0
NoControl,2,0,5a88d745554299206df2b378,0,0.0,3683,386,0.00073242,6,0,1.0,1.0
NoControl,2,1,5ae748d1554299572ea547b0,1,1.0,9695,398,0.00181674,6,0,1.0,1.0
NoControl,2,2,5a7a8a9c554299042af8f666,0,0.5,3180,283,0.00062334,4,0,1.0,1.0
NoControl,2,3,5adffe7155429906c02daa9e,0,0.0,631,40,0.00012078,1,0,0.0,1.0
NoControl,2,4,5ab642845542995eadeeff8e,1,1.0,387,43,7.74e-05,1,0,0.0,1.0
NoControl,2,5,5a906a685542990a9849362e,1,1.0,7128,333,0.00134298,6,0,1.0,1.0
NoControl,2,6,5a7633ad5542992db9473741,0,0.0,5126,291,0.00097506,5,0,1.0,1.0
NoControl,2,7,5a74ce9655429974ef308c6c,0,0.6667,444,42,8.748e-05,1,0,0.0,1.0
NoControl,2,8,5a713a5a5542994082a3e6a9,1,1.0,5128,365,0.00098874,6,0,1.0,1.0
NoControl,2,9,5ab341f755429969a97a8114,1,1.0,8033,300,0.00149994,6,0,1.0,1.0
NoControl,2,10,5a8325b35542990548d0b18f,0,0.0,4943,363,0.00095508,6,0,1.0,1.0
NoControl,2,11,5ab9374b554299131ca422c6,0,0.0,2376,189,0.0004617,3,0,1.0,1.0
NoControl,2,12,5ae52c0f5542992663a4f12e,0,0.0,4833,460,0.00095274,6,0,1.0,1.0
NoControl,2,13,5adbfbd555429947ff173893,0,0.8,748,71,0.00014742,1,0,0.0,1.0
NoControl,2,14,5ab7f0015542992aa3b8c88b,0,0.0,732,39,0.00013878,1,0,0.0,1.0
NoControl,2,15,5ac547525542993e66e822a3,0,0.0,1969,158,0.00038286,2,0,1.0,1.0
NoControl,2,16,5a7cbf8c554299452d57b9f4,0,0.0,7079,324,0.00133254,6,0,1.0,1.0
NoControl,2,17,5a7ddc5a5542995f4f4022da,1,1.0,468,55,9.414e-05,1,0,0.0,1.0
NoControl,2,18,5a7a1cd85542990783324e65,0,0.0,5837,492,0.00113922,6,0,1.0,1.0
NoControl,2,19,5ae0a59a55429945ae9593e2,0,0.0,2706,277,0.00053694,3,0,0.8,1.0
NoControl,2,20,5a8b987f5542997f31a41d7a,1,1.0,1673,210,0.00033894,3,0,1.0,1.0
NoControl,2,21,5a8739a05542994775f607ab,0,0.5,522,40,0.00010116,1,0,0.0,1.0
NoControl,2,22,5ae67dba55429908198fa5f0,0,0.0,4043,297,0.0007812,4,0,1.0,1.0
NoControl,2,23,5a7b3f4d5542992d025e67bb,0,0.8,2268,229,0.00044946,3,0,1.0,1.0
NoControl,2,24,5ae2dfd155429928c423951b,0,0.5,5452,429,0.00105858,6,0,1.0,1.0
NoControl,2,25,5ab6ba245542995eadef007f,1,1.0,4087,390,0.00080586,6,0,1.0,1.0
NoControl,2,26,5ab8854555429934fafe6e0c,1,1.0,3975,427,0.00079236,6,0,1.0,1.0
NoControl,2,27,5a8eea4a5542990e94052bb7,0,0.0,8166,533,0.00156582,6,0,1.0,1.0
NoControl,2,28,5a74c85055429916b0164218,0,0.6667,2873,355,0.00058104,6,0,1.0,1.0
NoControl,2,29,5a88dcf9554299206df2b383,1,1.0,551,55,0.00010908,1,0,0.0,1.0
NoControl,2,30,5a7625c7554299109176e668,1,1.0,11160,418,0.00208404,6,0,1.0,1.0
NoControl,2,31,5ac0d83a554299294b219038,0,0.0,2649,234,0.00051894,3,0,0.857,1.0
NoControl,2,32,5a790d8f554299029c4b5eec,1,1.0,5117,270,0.00096966,4,0,1.0,1.0
NoControl,2,33,5ab2c5e255429916697740ba,0,0.3333,2766,184,0.000531,3,0,0.833,1.0
NoControl,2,34,5abcfc365542993a06baf9d6,0,0.0,6561,585,0.00128628,6,0,1.0,1.0
NoControl,2,35,5a8ee6915542990e94052bad,0,0.0,7030,657,0.00138366,6,0,1.0,1.0
NoControl,2,36,5abba4855542993f40c73b68,0,0.0,5494,459,0.00107154,6,0,1.0,1.0
NoControl,2,37,5ae0bae555429906c02dab08,1,1.0,6521,444,0.0012537,6,0,1.0,1.0
NoControl,2,38,5ab271fe554299449642c8a6,1,1.0,5220,369,0.00100602,6,0,1.0,1.0
NoControl,2,39,5a7997a2554299029c4b5f59,0,0.0,4101,317,0.00079524,4,0,1.0,1.0
NoControl,2,40,5add673e5542992ae4cec54d,0,0.5,7232,355,0.00136566,6,0,1.0,1.0
NoControl,2,41,5ae819ac55429952e35eaa16,0,0.0,6354,371,0.0012105,6,0,1.0,1.0
NoControl,2,42,5aba65a055429939ce03dcd2,0,0.5,2320,176,0.00044928,2,0,0.667,1.0
NoControl,2,43,5a87bada5542994846c1cddc,1,1.0,4811,297,0.00091944,6,0,1.0,1.0
NoControl,2,44,5ae74fc45542997b22f6a6b4,0,0.0,566,56,0.00011196,1,0,0.0,1.0
NoControl,2,45,5adf65555542992d7e9f9334,1,1.0,6373,343,0.00120888,6,0,1.0,1.0
NoControl,2,46,5ade69e455429975fa854ec5,0,0.0,6008,473,0.00116658,6,0,1.0,1.0
NoControl,2,47,5ae057fd55429945ae959328,0,0.0,4784,367,0.00092718,6,0,1.0,1.0
NoControl,2,48,5ab28019554299722f9b4d51,0,0.0,7665,486,0.00146718,6,0,1.0,1.0
NoControl,2,49,5a75f79555429976ec32bcca,0,0.0,8339,420,0.00157662,6,0,1.0,1.0
NoControl,3,0,5a88d745554299206df2b378,1,1.0,3896,398,0.00077292,6,0,1.0,1.0
NoControl,3,1,5ae748d1554299572ea547b0,1,1.0,7891,346,0.00148266,5,0,1.0,1.0
NoControl,3,2,5a7a8a9c554299042af8f666,0,0.0,5368,486,0.00105372,6,0,1.0,1.0
NoControl,3,3,5adffe7155429906c02daa9e,0,0.0,631,38,0.00012042,1,0,0.0,1.0
NoControl,3,4,5ab642845542995eadeeff8e,1,1.0,387,45,7.776e-05,1,0,0.0,1.0
NoControl,3,5,5a906a685542990a9849362e,1,1.0,7491,305,0.00140328,6,0,1.0,1.0
NoControl,3,6,5a7633ad5542992db9473741,0,0.0,6554,285,0.00123102,6,0,1.0,1.0
NoControl,3,7,5a74ce9655429974ef308c6c,0,0.6667,444,47,8.838e-05,1,0,0.0,1.0
NoControl,3,8,5a713a5a5542994082a3e6a9,0,0.0,5027,327,0.00096372,6,0,1.0,1.0
NoControl,3,9,5ab341f755429969a97a8114,1,1.0,8182,387,0.00154242,6,0,1.0,1.0
NoControl,3,10,5a8325b35542990548d0b18f,0,0.0,1380,130,0.0002718,2,0,0.8,1.0
NoControl,3,11,5ab9374b554299131ca422c6,0,0.6667,3239,280,0.00063342,3,0,1.0,1.0
NoControl,3,12,5ae52c0f5542992663a4f12e,1,1.0,5614,345,0.00107262,6,0,1.0,1.0
NoControl,3,13,5adbfbd555429947ff173893,0,0.8,748,79,0.00014886,1,0,0.0,1.0
NoControl,3,14,5ab7f0015542992aa3b8c88b,0,0.0,5803,281,0.00109512,5,0,1.0,1.0
NoControl,3,15,5ac547525542993e66e822a3,0,0.0,7744,476,0.0014796,6,0,1.0,1.0
NoControl,3,16,5a7cbf8c554299452d57b9f4,0,0.0,7807,365,0.00147096,6,0,1.0,1.0
NoControl,3,17,5a7ddc5a5542995f4f4022da,1,1.0,468,61,9.522e-05,1,0,0.0,1.0
NoControl,3,18,5a7a1cd85542990783324e65,0,0.0,6606,484,0.0012762,6,0,1.0,1.0
NoControl,3,19,5ae0a59a55429945ae9593e2,0,0.0,6588,437,0.0012645,6,0,1.0,1.0
NoControl,3,20,5a8b987f5542997f31a41d7a,0,0.0,3854,409,0.00076734,6,0,1.0,1.0
NoControl,3,21,5a8739a05542994775f607ab,0,0.5,2092,165,0.00040626,3,0,1.0,1.0
NoControl,3,22,5ae67dba55429908198fa5f0,0,0.0,1578,142,0.0003096,2,0,1.0,1.0
NoControl,3,23,5a7b3f4d5542992d025e67bb,0,0.8,5632,448,0.0010944,6,0,1.0,1.0
NoControl,3,24,5ae2dfd155429928c423951b,0,0.0,4676,386,0.00091116,6,0,1.0,1.0
NoControl,3,25,5ab6ba245542995eadef007f,1,1.0,4356,286,0.00083556,6,0,1.0,1.0
NoControl,3,26,5ab8854555429934fafe6e0c,1,1.0,1993,218,0.00039798,3,0,1.0,1.0
NoControl,3,27,5a8eea4a5542990e94052bb7,0,0.3333,7811,565,0.00150768,6,0,1.0,1.0
NoControl,3,28,5a74c85055429916b0164218,0,0.0,3480,277,0.00067626,6,0,1.0,1.0
NoControl,3,29,5a88dcf9554299206df2b383,1,1.0,3244,300,0.00063792,5,0,1.0,1.0
NoControl,3,30,5a7625c7554299109176e668,0,0.0,11219,467,0.00210348,6,0,1.0,1.0
NoControl,3,31,5ac0d83a554299294b219038,0,0.0,6290,393,0.00120294,6,0,1.0,1.0
NoControl,3,32,5a790d8f554299029c4b5eec,1,1.0,7063,400,0.00134334,6,0,1.0,1.0
NoControl,3,33,5ab2c5e255429916697740ba,0,0.3333,6744,393,0.00128466,6,0,1.0,1.0
NoControl,3,34,5abcfc365542993a06baf9d6,0,0.0,6160,447,0.00118926,6,0,1.0,1.0
NoControl,3,35,5a8ee6915542990e94052bad,0,0.0,6645,382,0.00126486,6,0,1.0,1.0
NoControl,3,36,5abba4855542993f40c73b68,0,0.0,5557,487,0.00108792,6,0,1.0,1.0
NoControl,3,37,5ae0bae555429906c02dab08,1,1.0,6152,430,0.00118476,6,0,1.0,1.0
NoControl,3,38,5ab271fe554299449642c8a6,1,1.0,5480,370,0.001053,6,0,1.0,1.0
NoControl,3,39,5a7997a2554299029c4b5f59,1,1.0,4865,358,0.00094014,5,0,1.0,1.0
NoControl,3,40,5add673e5542992ae4cec54d,0,0.3333,3302,202,0.00063072,3,0,0.8,1.0
NoControl,3,41,5ae819ac55429952e35eaa16,0,0.0,622,62,0.00012312,1,0,0.0,1.0
NoControl,3,42,5aba65a055429939ce03dcd2,0,0.5,2439,126,0.0004617,2,0,0.667,1.0
NoControl,3,43,5a87bada5542994846c1cddc,0,0.0,5500,452,0.00107136,6,0,1.0,1.0
NoControl,3,44,5ae74fc45542997b22f6a6b4,0,0.0,566,64,0.0001134,1,0,0.0,1.0
NoControl,3,45,5adf65555542992d7e9f9334,1,1.0,716,74,0.0001422,1,0,0.0,1.0
NoControl,3,46,5ade69e455429975fa854ec5,0,0.0,4765,416,0.00093258,6,0,1.0,1.0
NoControl,3,47,5ae057fd55429945ae959328,0,0.0,4974,341,0.0009567,6,0,1.0,1.0
NoControl,3,48,5ab28019554299722f9b4d51,0,0.0,2894,240,0.00056412,3,0,0.857,1.0
NoControl,3,49,5a75f79555429976ec32bcca,0,0.0,2714,143,0.00051426,2,0,0.667,1.0
NoControl,4,0,5a88d745554299206df2b378,1,1.0,3627,323,0.000711,6,0,1.0,1.0
NoControl,4,1,5ae748d1554299572ea547b0,1,1.0,5312,369,0.00102258,5,0,1.0,1.0
NoControl,4,2,5a7a8a9c554299042af8f666,0,0.5,711,75,0.00014148,1,0,0.0,1.0
NoControl,4,3,5adffe7155429906c02daa9e,0,0.0,631,34,0.0001197,1,0,0.0,1.0
NoControl,4,4,5ab642845542995eadeeff8e,1,1.0,387,43,7.74e-05,1,0,0.0,1.0
NoControl,4,5,5a906a685542990a9849362e,1,1.0,4347,196,0.00081774,4,0,1.0,1.0
NoControl,4,6,5a7633ad5542992db9473741,0,0.0,7157,413,0.0013626,6,0,1.0,1.0
NoControl,4,7,5a74ce9655429974ef308c6c,0,0.6667,444,47,8.838e-05,1,0,0.0,1.0
NoControl,4,8,5a713a5a5542994082a3e6a9,0,0.0,8884,455,0.00168102,6,0,1.0,1.0
NoControl,4,9,5ab341f755429969a97a8114,1,1.0,671,54,0.0001305,1,0,0.0,1.0
NoControl,4,10,5a8325b35542990548d0b18f,0,0.0,616,69,0.0001233,1,0,0.0,1.0
NoControl,4,11,5ab9374b554299131ca422c6,1,1.0,4819,393,0.00093816,5,0,1.0,1.0
NoControl,4,12,5ae52c0f5542992663a4f12e,0,0.0,5213,302,0.0009927,6,0,1.0,1.0
NoControl,4,13,5adbfbd555429947ff173893,1,1.0,2868,179,0.00054846,3,0,0.857,1.0
NoControl,4,14,5ab7f0015542992aa3b8c88b,0,0.0,2032,87,0.00038142,2,0,0.667,1.0
NoControl,4,15,5ac547525542993e66e822a3,0,0.0,8431,558,0.00161802,6,0,1.0,1.0
NoControl,4,16,5a7cbf8c554299452d57b9f4,0,0.0,7845,441,0.00149148,6,0,1.0,1.0
NoControl,4,17,5a7ddc5a5542995f4f4022da,1,1.0,468,41,9.162e-05,1,0,0.0,1.0
NoControl,4,18,5a7a1cd85542990783324e65,0,0.0,5711,454,0.0011097,6,0,1.0,1.0
NoControl,4,19,5ae0a59a55429945ae9593e2,0,0.0,3917,262,0.00075222,4,0,1.0,1.0
NoControl,4,20,5a8b987f5542997f31a41d7a,1,1.0,3915,285,0.000756,6,0,1.0,1.0
NoControl,4,21,5a8739a05542994775f607ab,1,1.0,1309,147,0.00026208,2,0,0.8,1.0
NoControl,4,22,5ae67dba55429908198fa5f0,1,1.0,6628,376,0.00126072,6,0,1.0,1.0
NoControl,4,23,5a7b3f4d5542992d025e67bb,0,0.8,3400,441,0.00069138,4,0,1.0,1.0
NoControl,4,24,5ae2dfd155429928c423951b,0,0.5,5492,357,0.00105282,6,0,1.0,1.0
NoControl,4,25,5ab6ba245542995eadef007f,1,1.0,566,60,0.00011268,1,0,0.0,1.0
NoControl,4,26,5ab8854555429934fafe6e0c,0,0.0,5696,458,0.00110772,6,0,1.0,1.0
NoControl,4,27,5a8eea4a5542990e94052bb7,0,0.2857,7217,434,0.00137718,6,0,1.0,1.0
NoControl,4,28,5a74c85055429916b0164218,0,0.6667,3290,313,0.00064854,6,0,1.0,1.0
NoControl,4,29,5a88dcf9554299206df2b383,1,1.0,4251,421,0.00084096,5,0,1.0,1.0
NoControl,4,30,5a7625c7554299109176e668,1,1.0,5133,236,0.00096642,3,0,1.0,1.0
NoControl,4,31,5ac0d83a554299294b219038,0,0.0,4996,324,0.0009576,5,0,1.0,1.0
NoControl,4,32,5a790d8f554299029c4b5eec,1,1.0,8457,382,0.00159102,6,0,1.0,1.0
NoControl,4,33,5ab2c5e255429916697740ba,0,0.0,4752,422,0.00093132,5,0,1.0,1.0
NoControl,4,34,5abcfc365542993a06baf9d6,1,1.0,5091,359,0.000981,6,0,1.0,1.0
NoControl,4,35,5a8ee6915542990e94052bad,0,0.0,3833,266,0.00073782,4,0,1.0,1.0
NoControl,4,36,5abba4855542993f40c73b68,0,0.0,2776,204,0.0005364,3,0,1.0,1.0
NoControl,4,37,5ae0bae555429906c02dab08,0,0.0,6374,399,0.00121914,6,0,1.0,1.0
NoControl,4,38,5ab271fe554299449642c8a6,1,1.0,5107,330,0.00097866,6,0,1.0,1.0
NoControl,4,39,5a7997a2554299029c4b5f59,0,0.0,5436,380,0.00104688,5,0,1.0,1.0
NoControl,4,40,5add673e5542992ae4cec54d,0,0.0,7125,401,0.00135468,6,0,1.0,1.0
NoControl,4,41,5ae819ac55429952e35eaa16,0,0.0,5102,399,0.00099018,5,0,1.0,1.0
NoControl,4,42,5aba65a055429939ce03dcd2,0,0.5,11035,454,0.00206802,6,0,1.0,1.0
NoControl,4,43,5a87bada5542994846c1cddc,1,1.0,5436,356,0.00104256,6,0,1.0,1.0
NoControl,4,44,5ae74fc45542997b22f6a6b4,0,0.0,2239,287,0.00045468,3,0,0.833,1.0
NoControl,4,45,5adf65555542992d7e9f9334,1,1.0,6767,330,0.00127746,6,0,1.0,1.0
NoControl,4,46,5ade69e455429975fa854ec5,0,0.0,4869,349,0.00093924,6,0,1.0,1.0
NoControl,4,47,5ae057fd55429945ae959328,0,0.8,4587,277,0.00087552,6,0,1.0,1.0
NoControl,4,48,5ab28019554299722f9b4d51,0,0.0,1428,108,0.00027648,2,0,1.0,1.0
NoControl,4,49,5a75f79555429976ec32bcca,0,0.0,8894,604,0.00170964,6,0,1.0,1.0
FixedSchedule,0,0,5a88d745554299206df2b378,1,1.0,3668,373,0.00072738,6,2,1.0,1.0
FixedSchedule,0,1,5ae748d1554299572ea547b0,1,1.0,7415,452,0.00141606,6,2,1.0,1.0
FixedSchedule,0,2,5a7a8a9c554299042af8f666,0,0.5,5335,409,0.00103392,6,2,1.0,1.0
FixedSchedule,0,3,5adffe7155429906c02daa9e,0,0.0,631,29,0.0001188,1,0,0.0,1.0
FixedSchedule,0,4,5ab642845542995eadeeff8e,1,1.0,387,46,7.794e-05,1,0,0.0,1.0
FixedSchedule,0,5,5a906a685542990a9849362e,1,1.0,5755,335,0.0010962,5,1,1.0,1.0
FixedSchedule,0,6,5a7633ad5542992db9473741,0,0.0,6010,343,0.00114354,6,2,1.0,1.0
FixedSchedule,0,7,5a74ce9655429974ef308c6c,0,0.6667,444,37,8.658e-05,1,0,0.0,1.0
FixedSchedule,0,8,5a713a5a5542994082a3e6a9,0,0.8,5984,368,0.00114336,6,2,1.0,1.0
FixedSchedule,0,9,5ab341f755429969a97a8114,1,1.0,3134,202,0.00060048,3,1,1.0,1.0
