model,display,seed,task_idx,qid,em,f1,prompt_tokens,completion_tokens,cost_usd,turns
openai/gpt-4-turbo,GPT-4-Turbo,0,36,5ae4c49a5542995dadf24400,0,0.6667,5625,441,0.06948,5
openai/gpt-4-turbo,GPT-4-Turbo,0,37,5a7d3470554299452d57bb56,1,1.0,715,81,0.00958,1
openai/gpt-4-turbo,GPT-4-Turbo,0,38,5ae4f2c75542993aec5ec0fb,0,0.0,5976,541,0.07599,6
openai/gpt-4-turbo,GPT-4-Turbo,0,39,5ab1d7ac554299449642c7e6,1,1.0,331,63,0.0052,1
openai/gpt-4-turbo,GPT-4-Turbo,0,40,5a85cead5542991dd0999ea9,0,0.0,2451,191,0.03024,2
openai/gpt-4-turbo,GPT-4-Turbo,0,41,5a73a7c755429978a71e9068,0,0.4,879,124,0.01251,1
openai/gpt-4-turbo,GPT-4-Turbo,0,42,5a7f113d55429934daa2fcbe,0,0.6667,537,101,0.0084,1
openai/gpt-4-turbo,GPT-4-Turbo,0,43,5ae6828f5542996d980e7bb9,1,1.0,782,80,0.01022,1
openai/gpt-4-turbo,GPT-4-Turbo,0,44,5ab31864554299233954ff06,0,0.0,613,68,0.00817,1
openai/gpt-4-turbo,GPT-4-Turbo,0,45,5abe239355429976d4830a7d,1,1.0,1492,151,0.01945,2
openai/gpt-4-turbo,GPT-4-Turbo,0,46,5ac2659b55429963665199a1,0,0.6667,909,68,0.01113,1
openai/gpt-4-turbo,GPT-4-Turbo,0,47,5ae058e855429945ae959331,1,1.0,705,95,0.0099,1
openai/gpt-4-turbo,GPT-4-Turbo,0,48,5a7b8749554299294a54a9db,0,0.8,751,75,0.00976,1
openai/gpt-4-turbo,GPT-4-Turbo,0,49,5a864ff7554299211dda2af2,1,1.0,799,70,0.01009,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,0,5adef80b5542993a75d263c4,1,1.0,621,113,0.003558,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,1,5ae0aaf455429945ae959401,0,0.6667,1481,157,0.006798,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,2,5ab47d765542991751b4d78f,0,0.8,1461,194,0.007293,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,3,5a7ed2c655429930675135e5,0,0.8,926,133,0.004773,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,4,5ac3e0f7554299194317388b,1,1.0,923,199,0.005754,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,5,5a7bae20554299294a54aa96,0,0.0,6437,491,0.026676,6
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,6,5ab8ee035542991b5579f04b,1,1.0,649,120,0.003747,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,7,5a7a276d5542996c55b2dd27,0,0.8571,1476,191,0.007293,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,8,5a717d4c5542994082a3e854,0,0.8,632,259,0.005781,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,9,5ac02e31554299294b218f3f,0,0.0,935,301,0.00732,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,10,5a79ea435542996c55b2dc9e,0,0.75,886,135,0.004683,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,11,5ab7e4dc5542995dae37e9df,1,1.0,1103,83,0.004554,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,12,5a834ed95542990548d0b1ca,0,0.6667,745,85,0.00351,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,13,5ab41d855542996a3a969f4b,1,1.0,653,142,0.004089,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,14,5a7b7ff75542995eb53be93d,0,0.8571,748,108,0.003864,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,15,5a7d19d85542995ed0d165e8,0,0.6667,538,88,0.002934,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,16,5ae7ed17554299540e5a56a3,0,0.0,2662,249,0.011721,3
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,17,5ab2659e554299340b5254b2,1,1.0,1843,240,0.009129,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,18,5abd2eab5542992ac4f38210,1,1.0,710,93,0.003525,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,19,5abaf3195542996cc5e49f2c,1,1.0,2022,190,0.008916,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,20,5a791a97554299148911f9f2,0,0.6667,619,181,0.004572,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,21,5adf58f15542993a75d264d2,0,0.0,928,192,0.005664,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,22,5adc65e85542996e68525350,1,1.0,487,131,0.003426,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,23,5a87ab9b5542996e4f3088c2,0,0.0,771,133,0.004308,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,24,5a738fe855429908901be2fb,1,1.0,1390,306,0.00876,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,25,5a8c65a1554299585d9e3680,1,1.0,817,166,0.004941,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,26,5ac2bbd0554299218029db09,1,1.0,1878,137,0.007689,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,27,5adf3e355542993a75d26440,1,1.0,816,168,0.004968,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,28,5ae82ae555429952e35eaa71,1,1.0,1247,81,0.004956,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,29,5ac289ff5542996366519a02,1,1.0,6708,490,0.027474,6
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,30,5a7a5b3a5542996c55b2dd71,0,0.0,7766,397,0.029253,6
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,31,5ab8688b55429934fafe6daa,1,1.0,588,178,0.004434,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,32,5a7a3a945542996a35c17147,1,1.0,2057,163,0.008616,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,33,5ab9b29c554299743d22ebae,0,0.2222,8081,484,0.031503,6
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,34,5a8b63fa55429950cd6afcd7,1,1.0,662,99,0.003471,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,35,5ade51b45542997c77adedf4,1,1.0,763,133,0.004284,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,36,5ae4c49a5542995dadf24400,0,0.6667,1660,141,0.007095,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,37,5a7d3470554299452d57bb56,1,1.0,797,152,0.004671,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,38,5ae4f2c75542993aec5ec0fb,1,1.0,8273,547,0.033024,6
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,39,5ab1d7ac554299449642c7e6,1,1.0,364,100,0.002592,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,40,5a85cead5542991dd0999ea9,0,0.0,2664,318,0.012762,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,41,5a73a7c755429978a71e9068,0,0.4,2375,258,0.010995,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,42,5a7f113d55429934daa2fcbe,0,0.6667,1773,226,0.008709,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,43,5ae6828f5542996d980e7bb9,1,1.0,858,80,0.003774,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,44,5ab31864554299233954ff06,0,0.0,664,149,0.004227,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,45,5abe239355429976d4830a7d,1,1.0,1568,176,0.007344,2
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,46,5ac2659b55429963665199a1,0,0.6667,962,163,0.005331,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,47,5ae058e855429945ae959331,1,1.0,763,97,0.003744,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,48,5a7b8749554299294a54a9db,0,0.8,825,227,0.00588,1
anthropic/claude-sonnet-4.5,Claude-Sonnet-4.5,0,49,5a864ff7554299211dda2af2,1,1.0,2183,340,0.011649,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,0,5adef80b5542993a75d263c4,1,1.0,1408,129,0.0007449,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,1,5ae0aaf455429945ae959401,0,0.6667,596,95,0.00041629999999999993,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,2,5ab47d765542991751b4d78f,0,0.8,1323,210,0.0009219,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,3,5a7ed2c655429930675135e5,0,0.8,851,90,0.00048029999999999997,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,4,5ac3e0f7554299194317388b,1,1.0,851,57,0.00039779999999999997,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,5,5a7bae20554299294a54aa96,1,1.0,2474,278,0.0014371999999999998,3
google/gemini-2.5-flash,Gemini-2.5-Flash,0,6,5ab8ee035542991b5579f04b,1,1.0,1268,118,0.0006753999999999999,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,7,5a7a276d5542996c55b2dd27,0,0.8571,3392,352,0.0018976,4
google/gemini-2.5-flash,Gemini-2.5-Flash,0,8,5a717d4c5542994082a3e854,0,0.8,2962,885,0.0031011,4
google/gemini-2.5-flash,Gemini-2.5-Flash,0,9,5ac02e31554299294b218f3f,0,0.125,8808,1926,0.0074573999999999994,6
google/gemini-2.5-flash,Gemini-2.5-Flash,0,10,5a79ea435542996c55b2dc9e,0,0.75,847,85,0.0004666,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,11,5ab7e4dc5542995dae37e9df,1,1.0,1018,43,0.00041289999999999995,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,12,5a834ed95542990548d0b1ca,0,0.6667,1532,133,0.0007920999999999999,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,13,5ab41d855542996a3a969f4b,1,1.0,596,117,0.00047129999999999996,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,14,5a7b7ff75542995eb53be93d,0,0.8571,661,60,0.00034829999999999996,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,15,5a7d19d85542995ed0d165e8,0,0.6667,503,78,0.00034589999999999995,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,16,5ae7ed17554299540e5a56a3,1,1.0,2454,133,0.0010687,4
google/gemini-2.5-flash,Gemini-2.5-Flash,0,17,5ab2659e554299340b5254b2,0,0.1429,619,124,0.0004957,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,18,5abd2eab5542992ac4f38210,1,1.0,658,98,0.00044239999999999997,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,19,5abaf3195542996cc5e49f2c,1,1.0,1947,133,0.0009166,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,20,5a791a97554299148911f9f2,0,0.6667,602,43,0.0002881,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,21,5adf58f15542993a75d264d2,0,0.0,1926,124,0.0008878,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,22,5adc65e85542996e68525350,1,1.0,460,67,0.0003055,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,23,5a87ab9b5542996e4f3088c2,0,0.0,712,87,0.0004311,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,24,5a738fe855429908901be2fb,1,1.0,2026,223,0.0011653,3
google/gemini-2.5-flash,Gemini-2.5-Flash,0,25,5a8c65a1554299585d9e3680,1,1.0,730,99,0.0004665,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,26,5ac2bbd0554299218029db09,1,1.0,1819,154,0.0009306999999999999,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,27,5adf3e355542993a75d26440,1,1.0,735,107,0.000488,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,28,5ae82ae555429952e35eaa71,1,1.0,1121,62,0.0004913,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,29,5ac289ff5542996366519a02,0,0.0,3559,222,0.0016227000000000001,4
google/gemini-2.5-flash,Gemini-2.5-Flash,0,30,5a7a5b3a5542996c55b2dd71,0,0.0,1865,174,0.0009945,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,31,5ab8688b55429934fafe6daa,1,1.0,543,67,0.00033039999999999995,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,32,5a7a3a945542996a35c17147,1,1.0,1792,124,0.0008476,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,33,5ab9b29c554299743d22ebae,0,0.4615,7777,469,0.0035055999999999998,6
google/gemini-2.5-flash,Gemini-2.5-Flash,0,34,5a8b63fa55429950cd6afcd7,1,1.0,2200,158,0.001055,3
google/gemini-2.5-flash,Gemini-2.5-Flash,0,35,5ade51b45542997c77adedf4,1,1.0,704,104,0.0004712,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,36,5ae4c49a5542995dadf24400,0,0.6667,1499,122,0.0007547000000000001,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,37,5a7d3470554299452d57bb56,1,1.0,718,39,0.00031289999999999996,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,38,5ae4f2c75542993aec5ec0fb,0,0.0,5876,435,0.0028503,5
google/gemini-2.5-flash,Gemini-2.5-Flash,0,39,5ab1d7ac554299449642c7e6,1,1.0,311,71,0.0002708,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,40,5a85cead5542991dd0999ea9,0,0.0,2674,379,0.0017496999999999999,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,41,5a73a7c755429978a71e9068,0,0.4,913,122,0.0005789,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,42,5a7f113d55429934daa2fcbe,0,0.6667,1987,346,0.0014611,3
google/gemini-2.5-flash,Gemini-2.5-Flash,0,43,5ae6828f5542996d980e7bb9,0,0.0,773,145,0.0005944,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,44,5ab31864554299233954ff06,0,0.0,3483,300,0.0017948999999999999,4
google/gemini-2.5-flash,Gemini-2.5-Flash,0,45,5abe239355429976d4830a7d,1,1.0,2436,262,0.0013858,3
google/gemini-2.5-flash,Gemini-2.5-Flash,0,46,5ac2659b55429963665199a1,0,0.6667,2244,188,0.0011431999999999998,2
google/gemini-2.5-flash,Gemini-2.5-Flash,0,47,5ae058e855429945ae959331,1,1.0,2335,198,0.0011955,3
google/gemini-2.5-flash,Gemini-2.5-Flash,0,48,5a7b8749554299294a54a9db,0,0.8,780,103,0.0004915,1
google/gemini-2.5-flash,Gemini-2.5-Flash,0,49,5a864ff7554299211dda2af2,1,1.0,800,66,0.000405,1
openai/gpt-4o-mini,GPT-4o-mini,0,0,5adef80b5542993a75d263c4,1,1.0,559,56,0.00011745,1
openai/gpt-4o-mini,GPT-4o-mini,0,1,5ae0aaf455429945ae959401,0,0.0,4807,322,0.00091425,6
openai/gpt-4o-mini,GPT-4o-mini,0,2,5ab47d765542991751b4d78f,0,0.8,1216,101,0.000243,2
openai/gpt-4o-mini,GPT-4o-mini,0,3,5a7ed2c655429930675135e5,1,1.0,6694,438,0.0012668999999999998,6
openai/gpt-4o-mini,GPT-4o-mini,0,4,5ac3e0f7554299194317388b,1,1.0,6789,368,0.0012391499999999998,6
openai/gpt-4o-mini,GPT-4o-mini,0,5,5a7bae20554299294a54aa96,1,1.0,1475,123,0.00029505,2
openai/gpt-4o-mini,GPT-4o-mini,0,6,5ab8ee035542991b5579f04b,1,1.0,584,52,0.0001188,1
openai/gpt-4o-mini,GPT-4o-mini,0,7,5a7a276d5542996c55b2dd27,0,0.5455,512,62,0.000114,1
openai/gpt-4o-mini,GPT-4o-mini,0,8,5a717d4c5542994082a3e854,0,0.0,4827,381,0.00095265,6
openai/gpt-4o-mini,GPT-4o-mini,0,9,5ac02e31554299294b218f3f,1,1.0,816,84,0.00017279999999999997,1
openai/gpt-4o-mini,GPT-4o-mini,0,10,5a79ea435542996c55b2dc9e,0,0.75,840,67,0.0001662,1
openai/gpt-4o-mini,GPT-4o-mini,0,11,5ab7e4dc5542995dae37e9df,1,1.0,984,51,0.0001782,1
openai/gpt-4o-mini,GPT-4o-mini,0,12,5a834ed95542990548d0b1ca,0,0.6667,675,65,0.00014025,1
openai/gpt-4o-mini,GPT-4o-mini,0,13,5ab41d855542996a3a969f4b,1,1.0,581,62,0.00012435,1
openai/gpt-4o-mini,GPT-4o-mini,0,14,5a7b7ff75542995eb53be93d,0,0.8571,638,87,0.00014790000000000002,1
openai/gpt-4o-mini,GPT-4o-mini,0,15,5a7d19d85542995ed0d165e8,0,0.6667,489,45,0.00010035,1
openai/gpt-4o-mini,GPT-4o-mini,0,16,5ae7ed17554299540e5a56a3,0,0.0,601,54,0.00012254999999999997,1
openai/gpt-4o-mini,GPT-4o-mini,0,17,5ab2659e554299340b5254b2,0,0.5,601,67,0.00013035,1
openai/gpt-4o-mini,GPT-4o-mini,0,18,5abd2eab5542992ac4f38210,1,1.0,641,56,0.00012975,1
openai/gpt-4o-mini,GPT-4o-mini,0,19,5abaf3195542996cc5e49f2c,1,1.0,1817,130,0.00035055000000000004,2
openai/gpt-4o-mini,GPT-4o-mini,0,20,5a791a97554299148911f9f2,0,0.6667,545,44,0.00010815,1
openai/gpt-4o-mini,GPT-4o-mini,0,21,5adf58f15542993a75d264d2,0,0.0,830,86,0.0001761,1
openai/gpt-4o-mini,GPT-4o-mini,0,22,5adc65e85542996e68525350,1,1.0,420,47,9.120000000000001e-05,1
openai/gpt-4o-mini,GPT-4o-mini,0,23,5a87ab9b5542996e4f3088c2,0,0.0,713,68,0.00014775,1
openai/gpt-4o-mini,GPT-4o-mini,0,24,5a738fe855429908901be2fb,1,1.0,1737,204,0.00038295,3
openai/gpt-4o-mini,GPT-4o-mini,0,25,5a8c65a1554299585d9e3680,1,1.0,717,54,0.00013995,1
openai/gpt-4o-mini,GPT-4o-mini,0,26,5ac2bbd0554299218029db09,1,1.0,700,46,0.0001326,1
openai/gpt-4o-mini,GPT-4o-mini,0,27,5adf3e355542993a75d26440,1,1.0,731,49,0.00013905,1
openai/gpt-4o-mini,GPT-4o-mini,0,28,5ae82ae555429952e35eaa71,1,1.0,1100,53,0.0001968,1
openai/gpt-4o-mini,GPT-4o-mini,0,29,5ac289ff5542996366519a02,0,0.0,5817,247,0.00102075,6
openai/gpt-4o-mini,GPT-4o-mini,0,30,5a7a5b3a5542996c55b2dd71,0,0.0,6960,317,0.0012342,6
openai/gpt-4o-mini,GPT-4o-mini,0,31,5ab8688b55429934fafe6daa,1,1.0,533,57,0.00011415000000000001,1
openai/gpt-4o-mini,GPT-4o-mini,0,32,5a7a3a945542996a35c17147,0,0.0,799,61,0.00015644999999999998,1
openai/gpt-4o-mini,GPT-4o-mini,0,33,5ab9b29c554299743d22ebae,1,1.0,7409,339,0.00131475,6
openai/gpt-4o-mini,GPT-4o-mini,0,34,5a8b63fa55429950cd6afcd7,1,1.0,568,60,0.0001212,1
openai/gpt-4o-mini,GPT-4o-mini,0,35,5ade51b45542997c77adedf4,1,1.0,665,60,0.00013575,1
openai/gpt-4o-mini,GPT-4o-mini,0,36,5ae4c49a5542995dadf24400,0,0.0,557,59,0.00011894999999999999,1
openai/gpt-4o-mini,GPT-4o-mini,0,37,5a7d3470554299452d57bb56,1,1.0,707,50,0.00013605,1
openai/gpt-4o-mini,GPT-4o-mini,0,38,5ae4f2c75542993aec5ec0fb,1,1.0,7344,382,0.0013308,6
openai/gpt-4o-mini,GPT-4o-mini,0,39,5ab1d7ac554299449642c7e6,1,1.0,320,54,8.04e-05,1
openai/gpt-4o-mini,GPT-4o-mini,0,40,5a85cead5542991dd0999ea9,0,0.0,1072,66,0.00020039999999999997,1
openai/gpt-4o-mini,GPT-4o-mini,0,41,5a73a7c755429978a71e9068,0,0.4,2155,175,0.00042825,2
openai/gpt-4o-mini,GPT-4o-mini,0,42,5a7f113d55429934daa2fcbe,0,0.6667,529,67,0.00011954999999999998,1
openai/gpt-4o-mini,GPT-4o-mini,0,43,5ae6828f5542996d980e7bb9,1,1.0,771,73,0.00015945,1
openai/gpt-4o-mini,GPT-4o-mini,0,44,5ab31864554299233954ff06,0,0.0,596,43,0.0001152,1
openai/gpt-4o-mini,GPT-4o-mini,0,45,5abe239355429976d4830a7d,1,1.0,1431,142,0.00029985,2
openai/gpt-4o-mini,GPT-4o-mini,0,46,5ac2659b55429963665199a1,0,0.6667,899,51,0.00016544999999999998,1
openai/gpt-4o-mini,GPT-4o-mini,0,47,5ae058e855429945ae959331,1,1.0,685,53,0.00013455000000000002,1
openai/gpt-4o-mini,GPT-4o-mini,0,48,5a7b8749554299294a54a9db,0,0.8,743,55,0.00014445,1
openai/gpt-4o-mini,GPT-4o-mini,0,49,5a864ff7554299211dda2af2,1,1.0,792,73,0.0001626,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,0,5adef80b5542993a75d263c4,1,1.0,1371,101,0.0005888,2
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,1,5ae0aaf455429945ae959401,0,0.6667,2337,253,0.001036,3
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,2,5ab47d765542991751b4d78f,0,0.8,2239,221,0.000984,3
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,3,5a7ed2c655429930675135e5,1,1.0,8594,433,0.0036108000000000004,6
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,4,5ac3e0f7554299194317388b,1,1.0,6813,470,0.0029132000000000003,6
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,5,5a7bae20554299294a54aa96,1,1.0,5624,398,0.0024087999999999996,6
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,6,5ab8ee035542991b5579f04b,1,1.0,2748,270,0.0012072,4
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,7,5a7a276d5542996c55b2dd27,0,0.8571,1370,152,0.0006087999999999999,2
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,8,5a717d4c5542994082a3e854,0,0.8,4916,565,0.0021924,6
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,9,5ac02e31554299294b218f3f,1,1.0,3242,301,0.0014172000000000002,3
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,10,5a79ea435542996c55b2dc9e,0,0.75,843,75,0.00036720000000000004,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,11,5ab7e4dc5542995dae37e9df,1,1.0,1009,49,0.00042320000000000004,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,12,5a834ed95542990548d0b1ca,0,0.6667,688,47,0.000294,1
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,0,13,5ab41d855542996a3a969f4b,1,1.0,592,74,0.0002664,1
