model,slug,seed,task_idx,qid,em,f1,prompt_tokens,completion_tokens,cost_usd,turns
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,44,5ab31864554299233954ff06,0,0.0,627,52,4.074e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,45,5abe239355429976d4830a7d,0,0.0,7123,325,0.00044688,6
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,46,5ac2659b55429963665199a1,0,0.0,923,43,5.796e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,47,5ae058e855429945ae959331,0,0.0,719,60,4.6739999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,48,5a7b8749554299294a54a9db,0,0.0,7424,215,0.00045833999999999995,6
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,49,5a864ff7554299211dda2af2,0,0.0,813,40,5.118e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,0,5adef80b5542993a75d263c4,1,1.0,577,44,3.726e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,1,5ae0aaf455429945ae959401,0,0.6667,605,42,3.882e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,2,5ab47d765542991751b4d78f,0,0.8,1025,89,6.684e-05,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,3,5a7ed2c655429930675135e5,0,0.0,855,48,5.418e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,4,5ac3e0f7554299194317388b,0,0.0,834,25,5.154e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,5,5a7bae20554299294a54aa96,0,0.0,3822,212,0.00024203999999999998,4
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,6,5ab8ee035542991b5579f04b,0,0.0,610,43,3.918e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,7,5a7a276d5542996c55b2dd27,0,0.8571,532,55,3.522e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,8,5a717d4c5542994082a3e854,0,0.0,592,53,3.87e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,9,5ac02e31554299294b218f3f,0,0.08,847,68,5.49e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,10,5a79ea435542996c55b2dc9e,1,1.0,853,86,5.634e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,11,5ab7e4dc5542995dae37e9df,1,1.0,1018,35,6.318e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,12,5a834ed95542990548d0b1ca,0,0.0,5809,382,0.00037146,6
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,13,5ab41d855542996a3a969f4b,0,0.6667,602,65,4.001999999999999e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,14,5a7b7ff75542995eb53be93d,0,0.0,660,40,4.2e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,15,5a7d19d85542995ed0d165e8,0,0.6667,511,51,3.3719999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,16,5ae7ed17554299540e5a56a3,0,0.0,624,54,4.068e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,17,5ab2659e554299340b5254b2,0,0.0,1726,140,0.00011195999999999999,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,18,5abd2eab5542992ac4f38210,1,1.0,1738,100,0.00011028,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,19,5abaf3195542996cc5e49f2c,0,0.0,6621,334,0.0004173,6
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,20,5a791a97554299148911f9f2,0,0.4,565,60,3.75e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,21,5adf58f15542993a75d264d2,0,0.0,860,55,5.49e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,22,5adc65e85542996e68525350,0,0.0,449,36,2.91e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,23,5a87ab9b5542996e4f3088c2,0,0.0,754,44,4.7879999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,24,5a738fe855429908901be2fb,0,0.0,516,34,3.3e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,25,5a8c65a1554299585d9e3680,0,0.0,737,66,4.818e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,26,5ac2bbd0554299218029db09,0,0.0,719,40,4.554e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,27,5adf3e355542993a75d26440,0,0.6667,753,62,4.8899999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,28,5ae82ae555429952e35eaa71,1,1.0,1135,48,7.098e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,29,5ac289ff5542996366519a02,1,1.0,3823,247,0.00024419999999999997,4
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,30,5a7a5b3a5542996c55b2dd71,0,0.0,670,66,4.416e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,31,5ab8688b55429934fafe6daa,0,0.0,553,38,3.546e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,32,5a7a3a945542996a35c17147,0,0.0,5108,277,0.00032309999999999994,5
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,33,5ab9b29c554299743d22ebae,0,0.0,952,44,5.976e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,34,5a8b63fa55429950cd6afcd7,1,1.0,599,50,3.8939999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,35,5ade51b45542997c77adedf4,0,0.3333,685,39,4.344e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,36,5ae4c49a5542995dadf24400,0,0.0,585,40,3.75e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,37,5a7d3470554299452d57bb56,1,1.0,727,61,4.728e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,38,5ae4f2c75542993aec5ec0fb,0,0.0,756,46,4.812e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,39,5ab1d7ac554299449642c7e6,0,0.0,343,34,2.2619999999999997e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,40,5a85cead5542991dd0999ea9,0,0.0,1095,33,6.767999999999999e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,41,5a73a7c755429978a71e9068,0,0.4,893,69,5.7719999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,42,5a7f113d55429934daa2fcbe,0,0.6667,551,63,3.684e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,43,5ae6828f5542996d980e7bb9,1,1.0,5624,228,0.00035112,5
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,44,5ab31864554299233954ff06,0,0.0,627,65,4.1519999999999995e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,45,5abe239355429976d4830a7d,0,0.0,3746,231,0.00023862000000000002,4
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,46,5ac2659b55429963665199a1,0,0.6667,923,42,5.79e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,47,5ae058e855429945ae959331,0,0.0,719,70,4.734e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,48,5a7b8749554299294a54a9db,0,0.0,765,63,4.968e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,1,49,5a864ff7554299211dda2af2,0,0.0,3242,232,0.00020844,3
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,0,5adef80b5542993a75d263c4,1,1.0,577,60,3.8219999999999997e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,1,5ae0aaf455429945ae959401,0,0.5714,1377,93,8.82e-05,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,2,5ab47d765542991751b4d78f,0,0.8,1243,93,8.015999999999999e-05,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,3,5a7ed2c655429930675135e5,0,0.0,855,49,5.4239999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,4,5ac3e0f7554299194317388b,1,1.0,834,45,5.273999999999999e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,5,5a7bae20554299294a54aa96,0,0.0,3779,195,0.00023844,4
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,6,5ab8ee035542991b5579f04b,1,1.0,610,45,3.93e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,7,5a7a276d5542996c55b2dd27,0,0.8571,532,64,3.5759999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,8,5a717d4c5542994082a3e854,0,0.8,592,36,3.768e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,9,5ac02e31554299294b218f3f,1,1.0,847,40,5.322e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,10,5a79ea435542996c55b2dc9e,1,1.0,853,49,5.412e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,11,5ab7e4dc5542995dae37e9df,1,1.0,1018,34,6.311999999999999e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,12,5a834ed95542990548d0b1ca,0,0.0,698,41,4.434e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,13,5ab41d855542996a3a969f4b,0,0.0,602,48,3.9e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,14,5a7b7ff75542995eb53be93d,0,0.0,660,40,4.2e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,15,5a7d19d85542995ed0d165e8,0,0.6667,511,33,3.264e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,16,5ae7ed17554299540e5a56a3,0,0.0,1476,51,9.162e-05,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,17,5ab2659e554299340b5254b2,0,0.5,631,41,4.032e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,18,5abd2eab5542992ac4f38210,1,1.0,663,45,4.248e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,19,5abaf3195542996cc5e49f2c,0,0.0,1456,114,9.42e-05,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,20,5a791a97554299148911f9f2,0,0.4,565,34,3.594e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,21,5adf58f15542993a75d264d2,0,0.0,1925,129,0.00012324,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,22,5adc65e85542996e68525350,0,0.0,449,54,3.018e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,23,5a87ab9b5542996e4f3088c2,0,0.0,754,44,4.7879999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,24,5a738fe855429908901be2fb,0,0.0,5050,294,0.00032063999999999997,6
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,25,5a8c65a1554299585d9e3680,0,0.0,737,35,4.632e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,26,5ac2bbd0554299218029db09,1,1.0,719,39,4.548e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,27,5adf3e355542993a75d26440,0,0.6667,753,34,4.722e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,28,5ae82ae555429952e35eaa71,1,1.0,1135,31,6.995999999999999e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,29,5ac289ff5542996366519a02,0,0.0,716,35,4.505999999999999e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,30,5a7a5b3a5542996c55b2dd71,0,0.0,670,45,4.29e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,31,5ab8688b55429934fafe6daa,1,1.0,553,43,3.5759999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,32,5a7a3a945542996a35c17147,0,0.0,5932,260,0.00037151999999999997,6
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,33,5ab9b29c554299743d22ebae,0,0.2857,952,58,6.0599999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,34,5a8b63fa55429950cd6afcd7,1,1.0,599,36,3.8100000000000005e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,35,5ade51b45542997c77adedf4,1,1.0,685,64,4.494e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,36,5ae4c49a5542995dadf24400,0,0.0,585,49,3.804e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,37,5a7d3470554299452d57bb56,1,1.0,727,38,4.59e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,38,5ae4f2c75542993aec5ec0fb,0,0.0,756,61,4.9019999999999995e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,39,5ab1d7ac554299449642c7e6,0,0.0,343,48,2.3460000000000002e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,40,5a85cead5542991dd0999ea9,0,0.0,1095,38,6.798000000000001e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,41,5a73a7c755429978a71e9068,0,0.4,893,41,5.604e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,42,5a7f113d55429934daa2fcbe,0,0.0,1541,112,9.918e-05,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,43,5ae6828f5542996d980e7bb9,1,1.0,6753,306,0.00042354,6
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,44,5ab31864554299233954ff06,0,0.0,627,44,4.026e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,45,5abe239355429976d4830a7d,0,0.0,5837,310,0.00036882,6
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,46,5ac2659b55429963665199a1,0,0.6667,923,45,5.808e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,47,5ae058e855429945ae959331,1,1.0,719,66,4.71e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,48,5a7b8749554299294a54a9db,0,0.0,765,59,4.944e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,2,49,5a864ff7554299211dda2af2,0,0.0,813,37,5.1e-05,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,0,5adef80b5542993a75d263c4,0,0.0,7103,397,0.0015,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,1,5ae0aaf455429945ae959401,0,0.0,6032,440,0.0012944,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,2,5ab47d765542991751b4d78f,0,0.8,1446,131,0.0003154,2
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,3,5a7ed2c655429930675135e5,1,1.0,988,83,0.00021420000000000003,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,4,5ac3e0f7554299194317388b,1,1.0,951,78,0.00020580000000000002,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,5,5a7bae20554299294a54aa96,0,0.0,6630,522,0.0014304,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,6,5ab8ee035542991b5579f04b,0,0.1818,677,62,0.00014780000000000001,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,7,5a7a276d5542996c55b2dd27,0,0.1053,6943,573,0.0015032000000000001,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,8,5a717d4c5542994082a3e854,0,0.8,670,65,0.000147,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,9,5ac02e31554299294b218f3f,1,1.0,961,53,0.00020280000000000002,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,10,5a79ea435542996c55b2dc9e,0,0.75,2445,150,0.000519,2
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,11,5ab7e4dc5542995dae37e9df,0,0.0,3702,314,0.0008032,3
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,12,5a834ed95542990548d0b1ca,0,0.6667,788,70,0.00017160000000000002,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,13,5ab41d855542996a3a969f4b,0,0.0,687,78,0.000153,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,14,5a7b7ff75542995eb53be93d,0,0.8571,770,76,0.00016920000000000002,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,15,5a7d19d85542995ed0d165e8,0,0.0,4827,555,0.0010764000000000001,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,16,5ae7ed17554299540e5a56a3,0,0.0,699,95,0.0001588,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,17,5ab2659e554299340b5254b2,0,0.0909,6096,605,0.0013402,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,18,5abd2eab5542992ac4f38210,1,1.0,1571,153,0.00034480000000000003,2
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,19,5abaf3195542996cc5e49f2c,0,0.0,8104,621,0.001745,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,20,5a791a97554299148911f9f2,0,0.6667,626,69,0.000139,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,21,5adf58f15542993a75d264d2,0,0.0,3541,344,0.000777,3
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,22,5adc65e85542996e68525350,1,1.0,495,61,0.0001112,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,23,5a87ab9b5542996e4f3088c2,0,0.0,808,95,0.00018060000000000003,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,24,5a738fe855429908901be2fb,0,0.0,4945,370,0.001063,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,25,5a8c65a1554299585d9e3680,0,0.0,11525,590,0.002423,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,26,5ac2bbd0554299218029db09,1,1.0,7018,650,0.0015336000000000002,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,27,5adf3e355542993a75d26440,0,0.6667,1755,248,0.00040060000000000003,2
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,28,5ae82ae555429952e35eaa71,0,0.0,1258,60,0.0002636,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,29,5ac289ff5542996366519a02,1,1.0,6790,386,0.0014352,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,30,5a7a5b3a5542996c55b2dd71,0,0.0,736,67,0.00016060000000000003,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,31,5ab8688b55429934fafe6daa,0,0.0,619,83,0.0001404,1
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,32,5a7a3a945542996a35c17147,0,0.0,9020,553,0.0019146000000000002,6
mistral:7b,mistralai/Mistral-7B-Instruct-v0.3,0,33,5ab9b29c554299743d22ebae,0,0.6,8966,539,0.001901,6
